"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","test_created_booking_can_be_read_back_unchanged","tests","2026-09-15","passed","2026-09-15","TestCreateBooking","test_create_booking","",""
"","214","test_get_nonexistent_booking_returns_404","tests","2026-09-15","passed","2026-09-15","TestReadBooking","test_read_booking","",""
"","591","test_put_replaces_the_whole_booking","tests","2026-09-15","passed","2026-09-15","TestUpdateBooking","test_update_booking","",""
"Zero is a legitimate boundary (e.g. a fully comped stay) and,
unlike a negative price, should NOT be rejected.
","297","test_zero_total_price_is_a_valid_boundary_and_is_accepted","tests","2026-09-15","passed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"","216","test_malformed_checkin_date_is_rejected","tests","2026-09-15","failed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"","310","test_write_operations_are_rejected_without_auth[PATCH]","tests","2026-09-15","passed","2026-09-15","TestWriteAuthorization","test_auth","",""
"Direct regression test for the production incident: a booking
was silently created with checkout before checkin.
","268","test_checkout_before_checkin_is_rejected","tests","2026-09-15","failed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"","279","test_empty_payload_is_rejected_with_400","tests","2026-09-15","failed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"","382","test_missing_required_field_is_rejected_with_400[depositpaid]","tests","2026-09-15","failed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"","305","test_non_numeric_total_price_is_rejected","tests","2026-09-15","failed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"A correct auth endpoint signals failure via status code - a
client that only checks `response.ok` should not be able to
mistake a rejected login for a successful one.
","214","test_invalid_credentials_are_rejected_with_401","tests","2026-09-15","failed","2026-09-15","TestAuth","test_auth","",""
"","222","test_create_booking_returns_the_booking_that_was_sent","tests","2026-09-15","passed","2026-09-15","TestCreateBooking","test_create_booking","",""
"","807","test_delete_removes_the_booking","tests","2026-09-15","passed","2026-09-15","TestDeleteBooking","test_delete_booking","",""
"","285","test_missing_required_field_is_rejected_with_400[firstname]","tests","2026-09-15","failed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"","216","test_write_operation_is_rejected_with_an_invalid_token","tests","2026-09-15","passed","2026-09-15","TestWriteAuthorization","test_auth","",""
"","215","test_patch_updates_only_the_given_fields","tests","2026-09-15","passed","2026-09-15","TestUpdateBooking","test_update_booking","",""
"","216","test_delete_of_a_nonexistent_booking_returns_404","tests","2026-09-15","failed","2026-09-15","TestDeleteBooking","test_delete_booking","",""
"","242","test_valid_credentials_return_a_token","tests","2026-09-15","passed","2026-09-15","TestAuth","test_auth","",""
"","301","test_write_operations_are_rejected_without_auth[PUT]","tests","2026-09-15","passed","2026-09-15","TestWriteAuthorization","test_auth","",""
"","244","test_get_booking_ids_can_be_filtered_by_name","tests","2026-09-15","passed","2026-09-15","TestReadBooking","test_read_booking","",""
"","452","test_get_booking_ids_returns_a_schema_valid_list","tests","2026-09-15","passed","2026-09-15","TestReadBooking","test_read_booking","",""
"","303","test_put_on_a_nonexistent_booking_returns_404","tests","2026-09-15","failed","2026-09-15","TestUpdateBooking","test_update_booking","",""
"","308","test_http_basic_auth_is_accepted_as_an_alternative_to_the_cookie_token","tests","2026-09-15","passed","2026-09-15","TestWriteAuthorization","test_auth","",""
"","297","test_get_existing_booking_returns_its_details","tests","2026-09-15","passed","2026-09-15","TestReadBooking","test_read_booking","",""
"","216","test_missing_required_field_is_rejected_with_400[totalprice]","tests","2026-09-15","failed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"","217","test_missing_required_field_is_rejected_with_400[bookingdates]","tests","2026-09-15","failed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"","297","test_missing_required_field_is_rejected_with_400[lastname]","tests","2026-09-15","failed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"Direct regression test for the production incident: a booking
was silently created with a negative total price.
","216","test_negative_total_price_is_rejected","tests","2026-09-15","failed","2026-09-15","TestCreateBookingInputValidation","test_negative_and_boundary","",""
"","270","test_write_operations_are_rejected_without_auth[DELETE]","tests","2026-09-15","passed","2026-09-15","TestWriteAuthorization","test_auth","",""
